1,下单-金蝶中国渠道,KBC系统里找不到发票云标准版产品怎么回事?,标准版产品名称不含"发票云"三字。需搜索：开票管理（标准版）、综合收票管理（标准版）、基础收票管理（标准版）
2,下单-金蝶中国渠道,KBC价格测算找不到星空旗舰版报价,星空旗舰版报价包含在"金蝶云星空旗舰版-生态-发票服务"里，不是独立产品名称
3,下单-金蝶中国渠道,KBC下单时显示产品经营权到期怎么处理,进KBC查看产品经营权，已到期可发起经营权延期申请：KBC-销售管理-销售权益-产品经营权延期申请
4,下单-金蝶中国渠道,KBC签订合同需要变更签约企业怎么操作,走KBC产品使用权转移流程：KBC-销售管理-销售权益-产品使用权转移申请
5,下单-金蝶中国渠道,KBC已交付订单能调整订单开始日期吗,已交付订单无法调整；未交付可调整：KBC-销售管理-产品交付-开通时间调整申请，最多15天，超15天需提供客户确认缘由并加盖公章
6,下单-金蝶中国渠道,KBC订单需要升级版本怎么操作,升级前必须确认产品组合适配清单；路径：KBC-销售管理-产品交付-软件升级申请
7,下单-金蝶中国渠道,KBC交付出库遇到问题（交付中无法变已交付/域名填写错误/交付报错）找谁,咨询集团负责交付的郭俊杰老师
8,下单-金蝶中国渠道,金蝶伙伴在KBC下单时选不到发票云产品,确认伙伴是否有发票云产品业务授权；确认KBC订货乙方是否为金蝶软件（中国）有限公司
9,下单-金蝶中国渠道,KBC支持OTP在线下单吗,目前不支持；标准版6.0产品支持线上签约
10,下单-金蝶中国渠道,咨询KBC提前特批订单申请（需要什么资料/申请数量）,咨询集团的尤福欢老师；咨询申请哪个产品可以找龚敏君
11,下单-金蝶中国渠道,发票云自营伙伴如何上传付款凭证,EOP-订单-交易订单列表-输入交易订单编号-勾选订单-单笔付款-填写金额/流水号并附付款截图-点击确定
12,下单-金蝶中国渠道,查询订单有效期在哪里看,KBC订单看KBC订货约定的开始和结束日期；EOP订单看EOP约定的开始和结束日期
13,下单-金蝶中国渠道,发票云支持OTP下单吗,目前不支持；但标准版6.0产品支持线上签约
14,下单-金蝶中国渠道,发票云标准版机构结算规则是什么,50%结算给发票云；不允许打折；6.25折以上按标准报价50%结算，低于6.25折按实际报价80%结算给发票云
15,下单-金蝶中国渠道,发票云旗舰版机构结算规则是什么,允许打5折；3折以上按标准报价25%结算；低于3折按实际报价80%结算；涉及打折需走KBC-销售折扣申请审批
16,测试授权-金蝶中国渠道,金蝶中国渠道如何申请标准版测试订单,智能审批-金蝶发票云测试授权申请；有成本未订货仅提供1个税号测试累计不超过60天
17,测试授权-金蝶中国渠道,金蝶中国渠道如何申请旗舰版测试订单,两步：1）KBC-销售管理-产品交付-临时许可申请（旗舰版私有云订阅6.0最多30天）；2）云之家智能审批-金蝶发票云测试授权申请
18,测试授权-金蝶中国渠道,金蝶中国渠道如何申请星空旗舰版测试订单,两步：1）KBC申请星空旗舰版私有云订阅1.0临时许可（最多30天咨询尤福欢老师）；2）云之家智能审批-金蝶发票云测试授权申请
19,测试授权-金蝶中国渠道,发票云标准版测试地址是什么,https://tax-test.piaozone.com/
20,测试授权-金蝶中国渠道,发票云自营伙伴如何申请测试订单,票省事小程序-申请试用；有成本，未订货仅提供1个税号测试
21,测试授权-金蝶中国渠道,测试授权和正式交付流程一样吗,不一样。测试授权只配置测试通道不走完整交付验收；正式交付需配置正式税局通道跑通后验收
22,测试授权-金蝶中国渠道,旗舰版/星空旗舰版测试授权只支持私有云吗,是的，金蝶中国渠道旗舰版和星空旗舰版测试授权仅支持私有云，没有公有云选项
23,测试授权-金蝶中国渠道,收票旗舰版测试授权完成后还需要配置电子税局账号吗,需要。收票产品必须配置电子税局账号才能从税局同步进项发票，这是测试授权流程的最后一步
24,测试授权-金蝶中国渠道,客户没有私有云环境想试用星空旗舰版怎么办,可以使用公司统一维护的演示环境账号（营销管理知识库-POC阶段-产品体验环境-演示环境账号信息）；申请正式测试授权需要客户自备私有云环境
25,测试授权-金蝶中国渠道,测试授权的AI套件申请是干什么用的,AI套件是星空旗舰版里的智能功能模块（智能赋码/三单匹配等），需要体验AI功能时单独申请
26,续费激活-金蝶中国渠道,客户已续费但系统仍提示产品到期怎么排查,1）确认KBC销售出库单是否已交付；2）确认是否通过激活邮件完成激活；3）未收到激活邮件联系在线客服重发：https://tax.piaozone.com/sobot-web/home
27,续费激活-金蝶中国渠道,续费订单什么情况会自动激活什么情况需要手动激活,出库早于订单开始日期→前一晚11点自动激活；出库晚于开始日期→交付后半小时内自动激活；激活企业有变动→必须通过激活邮件手动激活
28,续费激活-金蝶中国渠道,续费订单激活企业有变动怎么操作,产品交付出库后通过KBC预留邮箱收到的激活邮件手动激活需要使用的企业；参考产品出库许可分配流程操作说明
29,续费激活-金蝶中国渠道,旗舰版/星空旗舰版延期KBC审批通过后还需要激活吗,需要。KBC延期审批通过后还需通过激活邮件激活需要使用的企业；标准版延期审批通过后无需再激活
30,续费激活-金蝶中国渠道,产品激活后没有收到授权邮件怎么办,联系发票云在线客服重发，提供产品序列号和接收邮箱（建议用qq/163/126邮箱）；检查是否被拦截为垃圾邮件；在线客服：https://tax.piaozone.com/sobot-web/home
31,续费激活-金蝶中国渠道,查询订单激活的企业授权信息在哪里查,查看激活邮件，激活完成最后一步"获取下单租户下企业授权信息"可查看授权账号/授权密钥/加密key
32,续费激活-金蝶中国渠道,客户购买了几套产品有几套没用能退换或权益叠加到已用税号吗,不支持退货；权益无法叠加到已使用税号；产品有效期以KBC/EOP订单开始和结束日期为准
33,特批-金蝶中国渠道,想提前使用标准版发票云产品怎么申请,智能审批-金蝶发票云产品特批订单申请；如因合同在途需提前开通需提供合同文件佐证并承诺合同约定使用时间与特批开始时间一致
34,特批-金蝶中国渠道,想提前使用旗舰版/星空旗舰版私有云产品怎么申请,集团仅提供私有云许可；路径：KBC-销售管理-产品交付-特批正式许可申请；有疑问咨询尤福欢老师
35,特批-金蝶中国渠道,发票云标准版产品延期申请流程是什么,智能审批-金蝶发票云（标准版）产品特批延期申请；仅适用于续费流程在途情况；同年最多3次
36,特批-金蝶中国渠道,发票云旗舰版/星空旗舰版产品延期申请流程是什么,KBC-销售管理-合同-延期续签申请；延期通过后私有云需要下载许可并通过激活邮件激活需延期的企业；有疑问咨询魏楚凌老师
37,特批-金蝶中国渠道,标准版特批延期审批通过后续费时到期时间怎么算,续费仍按原有产品到期时间计算不是从延期后时间起算；延期只是临时保住权益不中断
